year,region,uf,station_name,wmo_code,latitude,longitude,altitude,foundation_date,name (wmo)
2016,se,rj,tres rios,a625,-22.09833333,-43.20861111,305.0,2016-06-08,tres rios (a625)
2016,se,rj,rio claro,a626,-22.65361111,-44.04083333,516.0,2016-06-03,rio claro (a626)
2023,se,rj,niteroi,a627,-22.86749999,-43.10194444,6.0,2018-07-13,niteroi (a627)
2017,se,rj,angra dos reis,a628,-22.97583332,-44.30333333,6.0,2017-08-25,angra dos reis (a628)
2023,se,rj,carmo,a629,-21.9386111,-42.60083333,293.0,2018-10-11,carmo (a629)
2023,se,rj,santa maria madalena,a630,-21.95055555,-42.01027777,517.0,2018-10-16,santa maria madalena (a630)
2017,se,es,ecoporanga,a631,-18.29166666,-40.73638888,224.0,2017-03-17,ecoporanga (a631)
2017,se,es,marilandia,a632,-19.40722222,-40.53972221,95.0,2017-03-22,marilandia (a632)
2017,se,es,venda nova do imigrante,a633,-20.25222222,-41.18999999,722.0,2017-02-10,venda nova do imigrante (a633)
2017,se,es,vila velha,a634,-20.46694443,-40.40416666,25.0,2017-02-15,vila velha (a634)
2017,se,rj,itatiaia,a635,-22.37388888,-44.70305555,2450.0,2017-09-01,itatiaia (a635)
2017,se,rj,rio de janeiro - jacarepagua,a636,-22.93972221,-43.40277777,20.0,2017-08-10,rio de janeiro - jacarepagua (a636)
2023,se,rj,paty do alferes - avelar,a637,-22.34722221,-43.41777777,508.0,2022-11-10,paty do alferes - avelar (a637)
2016,se,rj,forte de copacabana,a652,-22.98833333,-43.19027777,42.0,2007-05-18,forte de copacabana (a652)
2016,se,es,afonso claudio,a657,-20.10416666,-41.10694444,520.0,2011-09-24,afonso claudio (a657)
2016,se,rj,silva jardim,a659,-22.64583333,-42.41583333,19.0,2015-08-28,silva jardim (a659)
2016,se,rj,saquarema,a667,-22.8711111,-42.60916666,16.0,2015-09-02,saquarema (a667)
2016,se,sp,sao paulo - mirante,a701,-23.48333333,-46.61666666,792.06,2006-07-25,sao paulo - mirante (a701)
2016,co,ms,campo grande,a702,-20.45,-54.6,530.0,2001-09-10,campo grande (a702)
2016,co,ms,ponta pora,a703,-22.5525,-55.71638888,675.0,2001-09-07,ponta pora (a703)
2016,co,ms,tres lagoas,a704,-20.78999999,-51.71222222,313.0,2001-09-03,tres lagoas (a704)
2016,se,sp,bauru,a705,-22.35805555,-49.02888888,666.0,2001-08-30,bauru (a705)
2016,se,sp,campos do jordao,a706,-22.75027777,-45.60388888,1642.0,2002-03-13,campos do jordao (a706)
2016,se,sp,presidente prudente,a707,-22.11999999,-51.4,435.55,2003-02-04,presidente prudente (a707)
2016,se,sp,franca,a708,-20.57999999,-47.37999999,1026.0,2002-12-12,franca (a708)
2016,co,ms,ivinhema,a709,-22.30666666,-53.82722221,373.8,2003-02-08,ivinhema (a709)
2016,co,ms,paranaiba,a710,-19.69527777,-51.18138888,424.0,2006-11-10,paranaiba (a710)
2016,se,sp,sao carlos,a711,-21.97972221,-47.88333333,863.0,2006-09-04,sao carlos (a711)
2016,se,sp,iguape,a712,-24.71666666,-47.55,2.66,2006-07-20,iguape (a712)
2016,se,sp,sorocaba,a713,-23.35,-47.66666666,609.0,2006-08-22,sorocaba (a713)
2016,se,sp,itapeva,a714,-23.98138888,-48.88527777,745.0,2006-07-25,itapeva (a714)
2016,se,sp,sao miguel arcanjo,a715,-23.85138888,-48.16444444,678.0,2006-08-15,sao miguel arcanjo (a715)
2016,se,sp,ourinhos,a716,-22.9486111,-49.89416666,448.0,2006-08-29,ourinhos (a716)
2016,co,ms,nhumirim,a717,-18.98888888,-56.62305554,91.0,2006-08-02,nhumirim (a717)
2016,se,sp,rancharia,a718,-22.37249999,-50.97416666,398.0,2006-09-01,rancharia (a718)
2016,co,ms,aquidauana,a719,-20.47555554,-55.78388888,155.0,2006-11-01,aquidauana (a719)
2016,co,ms,coxim,a720,-18.51222222,-54.73583333,252.0,2006-11-06,coxim (a720)
2016,co,ms,dourados,a721,-22.19388888,-54.91138888,469.0,2006-10-18,dourados (a721)
2016,co,ms,miranda,a722,-20.38333333,-56.41666666,140.0,2006-11-02,miranda (a722)
2016,co,ms,porto murtinho,a723,-21.70583333,-57.88666666,85.0,2006-10-24,porto murtinho (a723)
2016,co,ms,corumba,a724,-18.99666666,-57.63749999,126.0,2006-10-26,corumba (a724)
2016,se,sp,avare,a725,-23.09972221,-48.94555555,775.0,2006-09-22,avare (a725)
2016,se,sp,piracicaba,a726,-22.70277777,-47.62305554,573.0,2006-09-26,piracicaba (a726)
2016,se,sp,lins,a727,-21.66527777,-49.73416666,450.0,2006-09-20,lins (a727)
2016,se,sp,taubate,a728,-23.04194444,-45.52027777,571.0,2006-12-20,taubate (a728)
2016,se,sp,votuporanga,a729,-20.40305555,-49.96583333,465.0,2006-12-04,votuporanga (a729)
2016,co,ms,chapadao do sul,a730,-18.80222222,-52.60277777,818.0,2006-12-20,chapadao do sul (a730)
2016,co,ms,maracaju,a731,-21.60916666,-55.17777777,400.0,2006-12-15,maracaju (a731)
2016,co,ms,sao gabriel do oeste,a732,-19.42027777,-54.55305555,647.0,2006-12-18,sao gabriel do oeste (a732)
2016,se,sp,jales,a733,-20.165,-50.59499999,457.0,2007-08-22,jales (a733)
2016,se,sp,valparaiso,a734,-21.31916666,-50.93027777,374.0,2007-08-30,valparaiso (a734)
2016,se,sp,jose bonifacio,a735,-21.08555555,-49.92055554,405.0,2007-09-03,jose bonifacio (a735)
2016,se,sp,ariranha,a736,-21.13305554,-48.84027777,525.0,2007-11-13,ariranha (a736)
2016,se,sp,ibitinga,a737,-21.85555555,-48.66666666,492.0,2007-11-09,ibitinga (a737)
2016,se,sp,casa branca,a738,-21.77972221,-47.07972221,730.0,2007-06-25,casa branca (a738)
2016,se,sp,itapira,a739,-22.415,-46.80527777,633.0,2007-11-05,itapira (a739)
2016,se,sp,sao luis do paraitinga,a740,-23.22833332,-45.41722221,730.0,2007-11-01,sao luis do paraitinga (a740)
2016,se,sp,barra bonita,a741,-22.37083332,-48.55722222,544.0,2008-04-24,barra bonita (a741)
2016,co,ms,cassilandia,a742,-19.12249999,-51.72083332,516.0,2008-03-08,cassilandia (a742)
2016,co,ms,rio brilhante,a743,-21.77472221,-54.52805554,329.0,2008-06-26,rio brilhante (a743)
2017,se,sp,braganca paulista,a744,-23.95194444,-46.53055554,891.0,2017-12-20,braganca paulista (a744)
2016,se,sp,barra do turvo,a746,-24.96305555,-48.41638888,667.0,2008-07-03,barra do turvo (a746)
2016,se,sp,pradopolis,a747,-21.33833333,-48.11388888,544.0,2008-04-22,pradopolis (a747)
2016,se,sp,barretos,a748,-20.55888888,-48.54472221,533.0,2010-06-19,barretos (a748)
2016,co,ms,juti,a749,-22.85722222,-54.60555555,379.0,2008-06-16,juti (a749)
2016,co,ms,amambai,a750,-23.0025,-55.32944443,431.0,2008-06-11,amambai (a750)
2016,co,ms,sete quedas,a751,-23.96694443,-55.02416666,402.0,2008-06-03,sete quedas (a751)
2016,co,ms,itaquirai,a752,-23.44944444,-54.18166666,336.0,2008-05-28,itaquirai (a752)
2016,se,sp,ituverava,a753,-20.35944444,-47.77499999,600.0,2008-07-17,ituverava (a753)
2016,co,ms,sidrolandia,a754,-20.98166666,-54.97194443,464.0,2008-09-29,sidrolandia (a754)
2016,se,sp,barueri,a755,-23.52333332,-46.86916666,791.0,2011-03-29,barueri (a755)
2016,co,ms,agua clara,a756,-20.44444444,-52.87555554,338.0,2010-08-14,agua clara (a756)
2016,co,ms,bela vista,a757,-22.10083333,-56.53999999,208.0,2011-08-09,bela vista (a757)
2016,co,ms,jardim,a758,-21.47833332,-56.13694444,249.0,2011-08-04,jardim (a758)
2016,co,ms,bataguassu,a759,-21.75138888,-52.47055554,387.0,2013-03-21,bataguassu (a759)
2016,co,ms,costa rica,a760,-18.82277777,-53.26722221,730.0,2012-12-04,costa rica (a760)
2016,co,ms,sonora,a761,-17.89638888,-54.45361111,486.0,2012-11-30,sonora (a761)
2016,se,sp,dracena,a762,-21.45777777,-51.55222222,383.0,2016-11-03,dracena (a762)
2017,se,sp,marilia,a763,-22.23527777,-49.965,660.0,2017-05-15,marilia (a763)
2016,se,sp,bebdouro,a764,-20.94916666,-48.48972221,590.0,2016-10-27,bebdouro (a764)
2017,se,sp,bertioga,a765,-23.84499999,-46.14305555,5.0,2017-02-01,bertioga (a765)
2017,se,sp,registro,a766,-24.53305554,-47.86416666,35.0,2017-02-09,registro (a766)
2017,se,sp,sao sebastiao,a767,-23.81083333,-45.4025,24.0,2017-10-25,sao sebastiao (a767)
2017,se,sp,tupa,a768,-21.92722221,-50.49027777,498.0,2017-05-12,tupa (a768)
2017,se,sp,cachoeira paulista,a769,-22.68888888,-45.00555555,586.0,2017-10-20,cachoeira paulista (a769)
2023,se,sp,sao simao,a770,-21.46111111,-47.57944443,620.0,2019-07-03,sao simao (a770)
2023,se,sp,sao paulo - interlagos,a771,-23.724501,-46.677501,771.0,2018-03-14,sao paulo - interlagos (a771)
2016,s,rs,porto alegre,a801,-30.05,-51.16666666,46.97,2000-09-22,porto alegre (a801)
2016,s,rs,rio grande,a802,-32.03333333,-52.1,2.46,2001-11-16,rio grande (a802)
2016,s,rs,santa maria,a803,-29.70833333,-53.70361111,95.0,2001-11-26,santa maria (a803)
2016,s,rs,santana do livramento,a804,-30.84249999,-55.61277777,196.0,2001-11-22,santana do livramento (a804)
2016,s,rs,santo augusto,a805,-27.85416666,-53.7911111,490.0,2001-12-05,santo augusto (a805)
2016,s,sc,florianopolis,a806,-27.6025,-48.61999999,1.8,2003-01-22,florianopolis (a806)
2016,s,pr,curitiba,a807,-25.43333333,-49.26666666,923.5,2003-01-28,curitiba (a807)
2016,s,rs,torres,a808,-29.35027777,-49.73305554,4.66,2006-06-01,torres (a808)
2016,s,rs,uruguaiana,a809,-29.84249999,-57.08249999,62.31,2006-09-28,uruguaiana (a809)
2016,s,rs,santa rosa,a810,-27.89305555,-54.48055554,276.0,2006-11-15,santa rosa (a810)
2016,s,rs,cangucu,a811,-31.40583333,-52.70111111,462.0,2007-01-24,cangucu (a811)
2016,s,rs,cacapava do sul,a812,-30.54777777,-53.46749999,420.0,2006-06-22,cacapava do sul (a812)
2016,s,rs,rio pardo,a813,-29.87333332,-52.38249999,111.0,2006-09-30,rio pardo (a813)
2016,s,sc,urussanga,a814,-28.53249999,-49.31555555,48.0,2008-05-29,urussanga (a814)
2016,s,sc,sao joaquim,a815,-28.27555554,-49.93444444,1410.0,2008-04-12,sao joaquim (a815)
2016,s,sc,novo horizonte,a816,-26.40694444,-52.85055555,960.0,2008-09-20,novo horizonte (a816)
2016,s,sc,indaial,a817,-26.91361111,-49.26749999,86.13,2006-07-02,indaial (a817)
2016,s,pr,ivai,a818,-25.01333333,-50.8711111,808.0,2006-07-11,ivai (a818)
2016,s,pr,castro,a819,-24.78944444,-49.99972221,1007.76,2006-07-09,castro (a819)
2016,s,pr,mal. candido rondon,a820,-24.53583333,-54.01972221,392.0,2006-11-18,mal. candido rondon (a820)
2016,s,pr,joaquim tavora,a821,-23.50527777,-49.94638888,522.0,2006-11-23,joaquim tavora (a821)
2016,s,pr,nova tebas,a822,-24.43722221,-51.96305555,654.0,2006-12-21,nova tebas (a822)
2016,s,pr,inacio martins,a823,-25.56583333,-51.08944444,1260.0,2006-10-16,inacio martins (a823)
2016,s,pr,icaraima,a824,-23.39027777,-53.63472221,385.0,2006-11-16,icaraima (a824)
2023,s,pr,goioere,a825,-24.18388888,-53.04888888,481.0,2006-10-19,goioere (a825)
2016,s,rs,alegrete,a826,-29.71166666,-55.5261111,121.0,2006-09-28,alegrete (a826)
2016,s,rs,bage,a827,-31.34777777,-54.01333333,230.0,2007-01-04,bage (a827)
2016,s,rs,erechim,a828,-27.66027777,-52.30638888,765.0,2006-11-25,erechim (a828)
2016,s,rs,sao jose dos ausentes,a829,-28.75138888,-50.05833333,1244.0,2006-10-26,sao jose dos ausentes (a829)
2016,s,rs,sao borja,a830,-28.64944444,-56.01555555,83.0,2007-07-21,sao borja (a830)
2016,s,rs,quarai,a831,-30.3686111,-56.43722221,124.0,2007-10-17,quarai (a831)
2016,s,rs,sao gabriel,a832,-30.34138888,-54.31083333,126.0,2007-07-11,sao gabriel (a832)
2016,s,rs,santiago,a833,-29.19138888,-54.88555555,394.0,2009-02-04,santiago (a833)
2016,s,rs,tramandai,a834,-30.00972222,-50.13527777,1.0,2008-03-09,tramandai (a834)
2016,s,pr,maringa,a835,-23.40777777,-51.91666666,542.0,2006-11-21,maringa (a835)
